no,Player,pos,wt,birth_date,nationality,exp,college,year,team,result
2,Kyrie Irving,PG,195,23-Mar-92,au,3,Duke,2015,CLE,lost
23,LeBron James,SF,250,30-Dec-84,us,11,,2015,CLE,lost
1,James Jones,SF,218,4-Oct-80,us,11,Miami (FL),2015,CLE,lost
53,Alex Kirk,C,245,14-Nov-91,us,R,New Mexico,2015,CLE,lost
0,Kevin Love,PF,251,7-Sep-88,us,6,UCLA,2015,CLE,lost
31,Shawn Marion,SF,220,7-May-78,us,15,UNLV,2015,CLE,lost
18,Mike Miller,SF,218,19-Feb-80,us,14,Florida,2015,CLE,lost
20,Timofey Mozgov,C,275,16-Jul-86,ru,4,,2015,CLE,lost
3,Kendrick Perkins,C,270,10-Nov-84,us,11,,2015,CLE,lost
21,A.J. Price,PG,181,7-Oct-86,us,5,UConn,2015,CLE,lost
4,Iman Shumpert,SG,215,26-Jun-90,us,3,Georgia Tech,2015,CLE,lost
5,J.R. Smith,SG,225,9-Sep-85,us,10,,2015,CLE,lost
13,Tristan Thompson,PF,254,13-Mar-91,ca,3,Texas,2015,CLE,lost
17,Anderson Varejão,C,273,28-Sep-82,br,10,,2015,CLE,lost
3,Dion Waiters,SG,215,10-Dec-91,us,2,Syracuse,2015,CLE,lost
